Citra,Lable,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195
/content/Crop ROI/ta/ta118.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17,0,6,9,48,0,3,4,95,0,3,0,101,0,18,1,59,0,15,1,28,0,8,0,8,0,29,54,75,0,25,26,90,0,3,6,95,0,3,0,101,0,30,3,95,0,53,7,83,1,52,16,75,13,5,8,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,6,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta59.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,22,39,0,0,28,101,0,0,18,126,0,21,0,123,0,60,0,75,0,62,0,12,0,17,0,0,0,0,74,56,0,0,22,57,0,0,6,42,0,7,0,38,0,32,0,32,0,111,0,8,0,128,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta80.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,15,56,0,0,11,91,0,0,10,110,0,3,3,114,0,39,0,79,0,35,0,45,0,0,68,74,0,0,36,90,0,0,13,81,0,0,8,72,0,3,1,76,0,24,0,60,0,58,0,55,0,0,18,12,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta52.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,15,64,0,0,11,93,0,1,1,118,0,22,0,90,0,37,0,56,0,25,0,14,0,3,58,95,6,0,32,94,0,0,11,85,0,1,1,78,0,16,0,76,0,48,0,60,0,97,0,43,0,6,14,13,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta71.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,5,27,0,0,4,42,0,2,3,64,0,21,0,36,0,0,9,8,0,0,30,42,0,0,43,87,0,0,28,116,0,0,17,127,0,2,7,120,0,76,0,53,1,0,77,44,2,0,54,64,0,0,25,33,0,0,5,17,0,0,2,8,0,0,1,1,0,12,0,0,1,0,41,12,16,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta99.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,11,76,0,0,4,100,0,0,0,104,0,18,0,78,0,26,0,38,0,16,0,9,0,0,45,97,0,0,23,97,0,0,4,100,0,0,0,104,0,20,0,84,0,59,0,73,0,129,0,20,0,0,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta24.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,13,38,0,0,22,80,0,0,15,123,0,0,0,144,0,23,0,118,0,58,0,44,0,0,60,69,0,0,55,83,0,0,24,70,0,0,9,53,0,0,0,56,0,13,0,46,0,55,0,34,0,0,35,17,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta62.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,12,0,1,0,6,0,0,0,0,0,0,6,13,0,0,16,47,0,0,23,87,0,1,18,119,0,14,7,123,0,43,0,92,0,60,0,38,0,0,63,67,1,0,44,88,0,0,23,67,0,1,10,45,0,7,4,32,0,20,0,38,0,66,0,28,0,0,32,11,6,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta78.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,12,36,0,0,15,67,0,0,4,112,0,2,0,118,0,36,0,63,0,33,0,14,0,0,51,83,0,0,42,96,0,0,20,96,0,0,6,78,0,2,0,78,0,44,0,56,0,92,0,42,0,0,25,21,0,0,6,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta20.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,1,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,22,20,0,0,38,86,0,2,17,129,0,33,1,114,0,71,0,64,0,54,0,23,0,18,0,4,0,0,104,35,2,0,30,46,0,2,9,24,0,10,1,24,0,37,0,31,0,93,0,30,0,136,0,17,0,0,21,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,26,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta50.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,14,67,0,0,11,99,0,0,0,120,0,24,0,92,0,37,0,50,0,23,0,7,0,0,67,83,0,0,25,98,0,0,13,79,0,0,0,80,0,18,0,72,0,57,0,58,0,126,0,24,0,0,13,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta65.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,12,0,3,0,11,0,2,0,4,0,0,0,0,0,0,10,15,0,0,22,56,0,0,25,91,0,1,14,129,0,34,0,110,0,49,0,67,0,58,0,19,0,3,64,61,4,0,38,74,0,0,18,56,0,0,4,38,0,8,0,34,0,37,0,37,0,96,0,14,0,26,27,32,22,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta82.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,12,0,0,19,39,0,0,24,90,0,4,7,127,0,24,0,102,0,66,0,25,0,1,33,44,4,0,55,86,0,0,49,86,0,0,24,64,0,4,8,50,0,20,0,54,0,78,0,21,0,6,44,35,12,0,21,19,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta102.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,16,0,1,0,8,0,1,0,0,0,0,11,16,0,0,30,63,0,0,19,119,0,0,9,135,0,4,0,140,0,34,0,110,0,47,0,76,0,0,88,45,2,0,40,62,0,0,15,43,0,0,4,40,0,4,0,36,0,9,0,38,0,34,0,34,0,0,30,7,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta97.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,12,78,0,10,0,94,0,27,0,58,0,15,0,37,0,11,0,29,0,7,0,11,0,0,70,76,0,0,24,88,0,10,0,94,0,40,0,83,0,33,0,111,0,36,0,108,0,64,0,89,0,0,14,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,9,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta112.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,27,0,0,5,46,0,2,4,50,0,8,0,48,0,13,0,30,0,8,0,6,0,0,28,126,0,0,20,136,0,0,14,130,0,9,13,122,0,18,0,126,0,47,0,97,0,77,3,78,0,0,8,21,0,0,2,11,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,4,0,11,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta6.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,19,0,7,24,81,0,6,8,130,0,17,6,121,0,31,10,69,0,24,7,48,1,13,2,33,1,29,87,31,6,10,26,52,0,2,3,51,0,5,4,47,0,23,10,57,0,33,12,78,1,30,9,88,10,4,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta57.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,0,21,71,0,0,12,108,0,21,9,102,0,46,0,66,0,44,0,14,0,11,0,2,0,0,82,64,1,0,30,72,0,0,10,72,0,11,7,50,0,41,0,49,0,113,0,22,0,117,0,11,0,0,18,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta17.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,13,40,0,0,20,76,0,0,17,118,0,35,0,106,0,49,0,59,0,40,0,17,0,0,59,78,0,0,46,92,0,0,22,74,0,0,11,54,0,18,0,41,0,49,0,43,0,111,4,20,3,0,27,13,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/content/Crop ROI/ta/ta18.jpg,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,5,24,0,0,3,47,0,0,0,56,0,7,0,46,0,14,0,19,0,0,24,18,0,0,54,73,0,0,37,115,0,0,13,131,0,0,0,144,0,13,0,131,0,105,0,41,3,0,100,25,4,0,34,31,0,0,7,14,0,0,2,4,0,0,0,0,0,2,0,1,0,18,0,1,3,16,29,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
